"","year","country","total","ECA","MNA","SSA","SAS","EAP","LAC","per_capita"
"80",2010,"Norway",105.65214,3.00661885714286,5.174844,84.3243377142857,0,3.49550571428571,9.65083371428571,21.6090600361773
"68",2010,"Denmark",112.325605714286,2.48959542857143,4.37009142857143,94.3796057142857,0,2.943696,8.14261714285714,20.2473006658816
"131",2008,"Luxembourg",9.480192,0.5371695,0.65067,5.979534,0,1.797009,0.5158095,19.4007817456257
"427",2009,"Japan",2333.12010685714,117.894128571429,276.422941714286,1734.362592,0,57.7502897142857,146.690154857143,18.2906667955597
"87",2010,"Switzerland",131.511027428571,3.76938171428571,6.70671942857143,104.036850857143,0,4.50922971428571,12.4888457142857,16.8067165253935
"76",2010,"Japan",2118.06178971429,48.2722268571429,118.751055428571,1727.51505942857,0,47.6473182857143,175.876129714286,16.6187066434967
"77",2010,"Luxembourg",7.82575714285714,0.282884571428571,0.499633714285714,6.02945314285714,0,0.159156,0.854629714285714,15.4368493726243
"53",2011,"Norway",75.511812,1.912957,4.794844,56.151537,0,1.589057,11.063417,15.245400848925
"50",2011,"Luxembourg",7.430413,0.195994,0.658293,5.644989,0,0.168434,0.762703,14.3348239692716
"78",2010,"Netherlands",228.993987428571,6.26805771428571,11.0139308571429,183.772993714286,0,7.41803142857143,20.5209737142857,13.7820377536639
"74",2010,"Ireland",59.4757234285714,1.72035771428571,2.95878685714286,47.2795062857143,0,1.99881257142857,5.51826,13.0424784683854
"69",2010,"Finland",68.2394005714286,1.91112857142857,3.36084171428571,54.4405028571429,0,2.26435714285714,6.26257028571429,12.7232746610702
"19",2012,"Luxembourg",6.721672,0.171446,0.34909,5.433915,0,0.136106,0.631115,12.6598034451714
"122",2008,"Denmark",68.6368365,4.5555825,1.5944925,45.40836,0,15.623967,1.4544345,12.4939154885275
"64",2010,"Austria",104.282257714286,2.85745542857143,5.05180114285714,83.5636182857143,0,3.39955714285714,9.40982571428571,12.4296905958458
"134",2008,"Norway",59.0949555,2.3069955,0.236406,41.721537,0,14.829927,9e-05,12.3935251830246
"71",2010,"Germany",998.540067428571,26.779308,47.5897851428571,803.545530857143,0,32.0021091428571,88.6233342857143,12.2105350176388
"41",2011,"Denmark",65.896359,1.616458,4.05167,48.364274,0,1.342761,10.521196,11.8293703052398
"66",2010,"Canada",396.148489714286,11.0066091428571,19.0503,317.714969142857,0,12.857904,35.5187074285714,11.6496191061422
"142",2008,"United Kingdom",717.617313,46.7230575,16.906116,472.511649,0,166.072185,15.4043055,11.6106164520699
"119",2008,"Belgium",124.083723,6.009381,12.170202,79.1151165,0,20.898441,5.8905825,11.585811000644
"124",2008,"France",734.4404835,42.8978595,66.94224,439.996074,0,141.351201,43.253109,11.4094756017759
"428",2009,"Luxembourg",5.67862628571429,0.485936571428571,0.843809142857143,3.58542,0,0.158672571428571,0.604788,11.4078349401245
"60",2011,"Switzerland",89.761737,2.481791,5.424576,65.440567,0,2.061577,14.353226,11.3444415965931
"141",2008,"Switzerland",83.586696,3.5869935,0.3674385,51.7432305,0,23.060346,4.8286875,10.9296872578921
"140",2008,"Sweden",100.7527995,6.6017325,2.3108295,67.0892655,0,22.643127,2.107845,10.9280657687499
"377",2007,"Norway",51.4247301818182,4.41294436363636,9.97738909090909,28.3213701818182,0,2.29066472727273,6.42236181818182,10.9201655159643
"63",2010,"Australia",236.758721142857,6.63896914285714,11.4827057142857,189.476228571429,0,7.75096628571429,21.4098514285714,10.7462268675278
"43",2011,"France",701.909385,15.385819,40.018641,538.37043,0,13.211721,94.922774,10.74182496682
"132",2008,"Netherlands",173.903871,11.5447095,4.0412535,113.917335,0,39.599043,4.80153,10.5744968272047
"130",2008,"Japan",1324.7341245,102.6266385,160.311906,889.7094105,0,0,172.0861695,10.3734707570724
"61",2011,"United Kingdom",644.097447,16.464823,44.163179,470.725639,0,14.857895,97.885911,10.1819232349184
"59",2011,"Sweden",94.432187,2.336835,5.857306,70.781983,0,1.941167,13.514896,9.99365629709056
"374",2007,"Luxembourg",4.77967309090909,0.380881090909091,0.752846181818182,2.97390654545455,0,0.229153090909091,0.442886181818182,9.95779750954702
"365",2007,"Denmark",54.2149352727273,4.15656109090909,9.61249745454545,32.1678807272727,0,2.25018109090909,6.02781490909091,9.92686089268065
"123",2008,"Finland",52.281753,3.4766235,1.216908,34.554096,0,11.9241105,1.110015,9.83960606007567
"88",2010,"United Kingdom",615.744690857143,22.777812,45.2848011428571,472.906589142857,0,14.4253474285714,60.3501411428571,9.81010595244762
"51",2011,"Netherlands",162.766482,4.074091,10.211751,121.534218,0,3.384269,23.562153,9.75053977475928
"125",2008,"Germany",789.2435535,52.8767925,18.50604,519.644946,0,181.335291,16.880484,9.6120158462363
"38",2011,"Belgium",104.954321,2.360998,7.778052,81.84867,0,1.961234,11.005367,9.50006815871186
"70",2010,"France",613.321157142857,21.1584651428571,41.9864948571429,480.846951428571,0,13.3746857142857,55.95456,9.43235190172754
"47",2011,"Ireland",42.627609,1.093746,2.741484,31.558243,0,0.908555,6.325581,9.31385791014409
"42",2011,"Finland",49.690158,1.243093,3.115824,37.109313,0,1.032613,7.189315,9.221909732842
"185",2006,"Luxembourg",4.35312,0.249024,0.113748,3.59634981818182,0,0,0.393998181818182,9.21028188652179
"128",2008,"Ireland",41.1253755,2.7422955,0.960147,26.5229475,0,10.024176,0.8758095,9.16025669867586
"118",2008,"Austria",75.251361,5.4679035,1.913823,47.37093,0,18.7529895,1.745715,9.02627191365259
"86",2010,"Sweden",83.7467708571428,3.21613371428571,5.90677885714286,64.8704245714286,0,1.881588,7.87184571428571,8.93001127304112
"44",2011,"Germany",712.597148,17.609732,44.138986,534.375967,0,14.628073,101.84439,8.71170440264236
"385",2007,"United Kingdom",531.921645818182,17.8048756363636,101.769134181818,324.365281090909,0,23.7356989090909,64.246656,8.67417288506497
"184",2006,"Japan",1075.19249018182,94.3445421818182,20.8432341818182,859.826424,0,0,100.178289818182,8.41598429975892
"373",2007,"Japan",1071.47123236364,78.0247298181818,75.0310527272727,798.700917818182,0,28.6401185454545,91.0744134545455,8.38588826002821
"23",2012,"Norway",41.274951,1.51194,2.465825,33.978473,0,1.073827,2.244886,8.22443969630411
"39",2011,"Canada",282.362732,7.043456,17.654493,211.078706,0,5.850863,40.735214,8.22189502422343
"18",2012,"Japan",1037.510801,22.573227,69.157418,812.03101,0,22.502201,111.246945,8.13341713971369
"62",2011,"United States",2533.165436,65.366089,154.579617,1870.706227,0,52.570707,389.942796,8.12999740255042
"375",2007,"Netherlands",133.135681090909,10.6276047272727,24.308556,76.3748007272727,0,5.55885490909091,16.2658647272727,8.12709997182221
"34",2012,"United Kingdom",508.806953,14.135951,35.472427,409.624314,0,10.372136,39.202125,7.98809114029966
"120",2008,"Canada",265.4226495,18.3509055,6.423285,178.3332615,0,56.456133,5.8590645,7.9836510193341
"37",2011,"Austria",66.25449,1.869029,4.684745,52.292114,0,1.552567,5.856035,7.88163408689338
"89",2010,"United States",2421.90153428571,81.4684937142857,154.380281142857,1865.33860114286,0,56.52162,264.192538285714,7.82960121220862
"195",2006,"Switzerland",58.4989363636364,3.71201781818182,0.514846909090909,48.1471734545455,0,0,6.12489818181818,7.81660239120227
"117",2008,"Australia",165.3705315,11.0144025,3.8556945,109.202592,0,37.7808285,3.517014,7.78243564463603
"161",2004,"Norway",35.5575098181818,4.49198181818182,0.621669818181818,27.7523923636364,0,1.065804,1.62566181818182,7.74351191552099
"361",2007,"Austria",64.0680545454545,4.88749745454545,11.5308763636364,41.4612981818182,0,2.69897018181818,3.48941236363636,7.71830993635785
"49",2011,"Japan",983.960141,23.367779,56.188214,785.254044,0,24.863111,94.286993,7.69817793098503
"436",2009,"Spain",355.596452571429,21.2490548571429,35.6018434285714,277.375289142857,0,8.69443371428571,12.6758314285714,7.66984161446514
"366",2007,"Finland",40.1786836363636,3.17495781818182,7.30017490909091,23.393832,0,1.70119636363636,4.60852254545454,7.59705251932415
"65",2010,"Belgium",82.8000805714286,3.22699542857143,5.96784342857143,63.5267777142857,0,1.90104,8.177424,7.58223610181138
"36",2011,"Australia",169.003165,4.245398,10.641141,126.037144,0,3.526574,24.552908,7.56504767233662
"368",2007,"Germany",617.056261090909,48.1819069090909,112.355684727273,360.235857818182,0,26.5011818181818,69.7816298181818,7.50071075335618
"143",2008,"United States",2277.9366795,138.3571215,20.567112,1471.9337295,0,497.971479,149.1072375,7.49089733500335
"103",2005,"Japan",945.634814181818,85.9065065454545,22.1456574545455,747.426223636364,0,16.7075705454545,73.448856,7.40089701423619
"48",2011,"Italy",429.524092,10.979179,49.191473,317.869269,0,9.120196,42.363975,7.23354795697077
"45",2011,"Greece",79.983394,0.429373,6.296094,67.819194,0,0,5.438733,7.19067359404158
"176",2006,"Denmark",38.9311254545454,2.22656945454545,0.912901090909091,32.1177381818182,0,0,3.67391672727273,7.16004744658719
"384",2007,"Switzerland",53.8685487272727,6.60996981818182,0.461865818181818,38.3015410909091,0,3.72202036363636,4.77315163636364,7.13385168048648
"439",2009,"United Kingdom",443.597077714286,27.8568942857143,3.11814514285714,348.950616,0,7.90075028571429,55.770672,7.1230514881511
"149",2004,"Denmark",38.1486850909091,4.73768072727273,0.655971272727273,29.9006945454545,0,1.13530363636364,1.71903490909091,7.05865903429405
"371",2007,"Ireland",30.8510607272727,2.51789236363636,5.59018363636364,17.8061672727273,0,1.26234763636364,3.67446981818182,7.01329108226478
"32",2012,"Switzerland",55.949798,1.961529,3.995123,45.687584,0,1.39314,2.912422,6.99646998991229
"383",2007,"Sweden",63.9771752727273,6.03162218181818,0.410217818181818,45.5619218181818,0,3.21445090909091,8.75896254545455,6.99349933297566
"431",2009,"Norway",33.7091588571429,2.83569085714286,0.311631428571429,29.7725245714286,0,0.788489142857143,0.000822857142857143,6.98096328099793
"107",2005,"Norway",31.6662403636364,3.37073127272727,0.824757818181818,23.7493134545455,0,0.277308,3.44412981818182,6.84928558466253
"58",2011,"Spain",314.851352,6.931457,25.045027,247.015764,0,7.428879,28.430225,6.73584051001593
"85",2010,"Spain",313.004732571429,11.3025754285714,9.96310628571428,259.106466857143,0,7.54240628571429,25.0901777142857,6.72017143177228
"95",2005,"Denmark",36.033768,3.66799636363636,0.812844,27.4300189090909,0,0.282992727272727,3.839916,6.64899347385482
"3",2012,"Belgium",73.180376,1.866059,5.833645,57.022806,0,1.325332,7.132534,6.57609258458161
"367",2007,"France",417.931688727273,24.0408392727273,47.5365818181818,297.066390545455,0,19.9398218181818,29.3480552727273,6.52890011512114
"363",2007,"Canada",213.844296,16.7586938181818,38.532132,125.248674545455,0,8.97912,24.3256756363636,6.50221248355932
"75",2010,"Italy",384.166769142857,15.6988628571429,29.6801245714286,292.963143428571,0,8.84028342857143,36.9843548571429,6.48082842577301
"8",2012,"Denmark",35.793476,1.277599,2.083637,29.627909,0,0.90739,1.896941,6.40132613869588
"196",2006,"United Kingdom",387.191448,14.4048785454545,9.45805854545454,325.300634181818,0,0,38.0278767272727,6.36338017335992
"416",2009,"Belgium",67.9577365714286,3.97057885714286,0.438387428571429,56.903232,0,1.11078171428571,5.53475657142857,6.29442695882821
"360",2007,"Australia",128.088081818182,10.077276,22.8973396363636,75.1785741818182,0,5.28050509090909,14.6543869090909,6.14992038448981
"421",2009,"France",391.183704,33.9130542857143,2.95806,311.238257142857,0,7.49512457142857,35.579208,6.04584303079609
"91",2005,"Austria",49.6195123636364,4.38831381818182,1.16686363636364,39.1397116363636,0,0.330626181818182,4.59399709090909,6.03069319987083
"98",2005,"Germany",495.004721454545,43.000764,11.87814,392.888949818182,0,3.30012,43.9367476363636,6.00228193062878
"438",2009,"Switzerland",46.2890588571429,4.38146057142857,0.483778285714286,40.1980868571429,0,1.22573314285714,0,5.97753991532098
"167",2004,"Sweden",53.6991829090909,6.58792363636364,0.487210909090909,42.6584007272727,0,1.576236,2.38941163636364,5.97086760472611
"419",2009,"Denmark",32.9409257142857,2.66270914285714,0.293981142857143,29.2393457142857,0,0.744889714285714,0,5.96421493745807
"194",2006,"Sweden",54.1409530909091,3.09490036363636,0.429254181818182,45.5101581818182,0,0,5.10664036363636,5.96232842776916
"188",2006,"Norway",27.4712061818182,2.10565854545455,0.863346545454545,21.242976,0,0,3.25922509090909,5.89425231570435
"30",2012,"Spain",275.274413,2.632731,17.489344,209.00205,0,5.796131,40.354157,5.8868043643987
