"","Country","DirectCost","IndirectCost","TotalCost","FinancialContributions","DirectCost2","IndirectCost2","Total","year"
"74","Belgium",0.000118445377456504,0.000107502490163055,0.00022594786761956,0.000118373823098391,10,0.000243636290923938,0.000467358739218658,2010
"75","Canada",7.15795073798861e-05,0.000207353790148435,0.000278933297528321,0.000108097014858178,3,0.000358041410463196,0.000465952134291685,2010
"76","Denmark",0.000161273496509925,0.000306888399414672,0.000468161895924597,0.000123218200004913,19,0.000470576169286437,0.000869242228566181,2010
"77","Finland",0.000329217366726527,0.000220788728885014,0.000550006095611541,0.000116827439492166,20,0.000329487953714166,0.000765748597680543,2010
"78","France",0.000114495224648357,0.000176649290491822,0.000291144515140178,0.000137236486322687,15,0.000401719144462926,0.000706144169598312,2010
"79","Germany",2.04604435944767e-05,5.13920003818761e-05,7.18524439763528e-05,0.000135851915358118,7,0.000259333878608457,0.000460857947929601,2010
"80","Greece",2.87862612190121e-05,3.91814245937987e-05,6.79676858128108e-05,7.92446290648738e-05,21,0.000266329880136571,0.000774383364966874,2010
"81","Ireland",0.000493741713767697,0.000264991360978813,0.00075873307474651,7.88526076241636e-05,6,0.000285800320266102,0.00045004924737702,2010
"82","Italy",5.78663707227085e-05,0.000214394665412056,0.000272261036134764,0.000104161966884248,14,0.000389427417877092,0.000653280356784931,2010
"83","Japan",3.77981421801375e-06,1.53976769927811e-05,1.91774912107949e-05,0.000165650519411871,1,0,0,2010
"84","Netherlands",7.52168998853095e-05,0.000230690012704835,0.000305906912590145,0.000117027269008117,12,0.000463958029482789,0.000702683982584263,2010
"85","New Zealand",0.000182116890695517,0.000617999545316145,0.000800116436011662,0.00010443998540448,5,0.000407531375112132,0.000555339482427081,2010
"86","Norway",0.000276693342011742,0.000556391075009676,0.000833084417021417,7.41535668128712e-05,18,0.00053658088266433,0.000860538900898261,2010
"87","Portugal",0.000221034430970944,0.000202177469762375,0.000423211900733319,9.76793042124385e-05,13,0.000184779341584028,0.000442614408010628,2010
"88","South Korea",2.43725704014727e-05,1.75519785175275e-05,4.19245489190002e-05,4.66602739714305e-05,1,0,0,2010
"89","Spain",3.82895243352515e-05,0.000107780257056744,0.000146069781391995,8.65589621538605e-05,4,0.000122904024847525,0.00027028314132986,2010
"90","Sweden",0.000127193876470674,0.00017984666341769,0.000307040539888364,0.000118951144719158,8,0.0003563439748319,0.000569709095455401,2010
"91","Switzerland",1.36047291206437e-05,5.6814647715702e-05,7.04193768363457e-05,8.04966174543282e-05,22,0.000479702931283924,0.000553790585380874,2010
"92","United Kingdom",6.40100245037044e-05,0.000297645938369145,0.000361655962872849,0.000136775287443269,11,0.000807252110023116,0.00103296464940645,2010
"93","United States",7.12147997561874e-06,2.85288232368521e-05,3.56503032124708e-05,8.93179281244239e-05,23,0.000662100813354417,0.000752464861250515,2010
"94","EU",6.07094082821584e-05,0.000127539464935143,0.000188248873217301,0.000107310954949322,17,0.000356736360152132,0.000671693528719971,2010
"95","Europe",6.37037713469944e-05,0.000134085238329241,0.000197789009676235,0.000105955144842213,16,0.000363498700508704,0.000672292370560999,2010
"96","Australia",6.82456859756825e-05,0.000304661131051698,0.00037290681702738,0.00011707619077241,24,0.000979129952013986,0.00107843310580039,2011
"97","Austria",0.000250378827614378,0.000139390331440947,0.000389769159055324,0.00014771828426883,10,0.000215986764085133,0.00044355415117328,2011
"98","Belgium",0.000114086763667115,0.000100303369994491,0.000214390133661606,0.000137723078449426,6,0.000227320697367694,0.000430205992792282,2011
"99","Canada",6.66333896980301e-05,0.000193467927128689,0.00026010131682672,0.000134428336343438,23,0.000334064448298534,0.000432338410150689,2011
"100","Denmark",0.00015644163504461,0.000286337001373814,0.000442778636418424,0.000153143374024463,18,0.000439063090975255,0.000809847495445257,2011
"101","Finland",0.000301694422059988,0.000206003168209193,0.000507697590269181,0.000148412939054495,19,0.000307423131129269,0.000717096198166406,2011
"102","France",0.000113561695082483,0.000164819615960439,0.000278381311042922,0.000174377664258127,13,0.000374817215115851,0.000664436074838842,2011
"103","Germany",1.97477377772424e-05,4.79504318573626e-05,6.7698169634605e-05,0.000166960332386464,5,0.000241967064564892,0.000431347967643907,2011
"104","Greece",2.82265280967178e-05,3.65575618014259e-05,6.47840898981436e-05,8.11213736006084e-05,20,0.000248494564799464,0.000742355234972292,2011
"105","Ireland",0.00046103091854925,0.000247245682265472,0.000708276600814722,0.000114440525188509,4,0.000266661127800059,0.000421495565521423,2011
"106","Italy",6.60098202566495e-05,0.000200037296038943,0.000266047116295593,0.000129012775008399,11,0.000363348628688318,0.000613651549164531,2011
"107","Japan",4.05343947553825e-06,1.4366540627292e-05,1.84199801028303e-05,0.000190046730395843,1,0,0,2011
